course_id,course_name,course_category_id,class_hours,credit_hours ,examination_method ,instructor_name ,course_explain
73,Editor,73,74,21,Plexiglass,Vitia Glyssanne,Clinic anophthalmos NOS
74,Assistant Manager,74,31,45,Plastic,Zaneta Camm,Tubal preg w intra preg
75,Paralegal,75,49,62,Brass,Fee Bursnall,Congenital lip fistula
76,VP Sales,76,30,45,Stone,Nelson Ivshin,Ob pyemic embol-antepart
77,Help Desk Technician,77,28,87,Aluminum,Celestia Beecham,Tear lat menisc knee-cur
78,Financial Analyst,78,96,58,Granite,Rina Hartzenberg,Adv eff antirheumatics
79,Engineer III,79,45,64,Plexiglass,Meggy Follit,Infection of kidney NOS
80,VP Accounting,80,30,12,Brass,Tawnya Ebbings,Calcium deposit tendon
81,Food Chemist,81,18,31,Steel,Chane Archambault,Nasopharynx diphtheria
82,Help Desk Technician,82,10,55,Plexiglass,Gillan Feary,Senile nuclear cataract
83,Teacher,83,98,24,Plexiglass,Jasmine Pabelik,Abdmnal pain periumbilic
84,Product Engineer,84,53,48,Wood,Adelina Piris,Oth off-road mv-mocycl
85,VP Marketing,85,87,18,Plexiglass,Kacie Walkinshaw,Tympanoscler-all parts
86,Geologist I,86,97,55,Rubber,Keslie Cudd,Puberty
87,Editor,87,74,10,Rubber,Lucie Lucy,Acquired hemophilia
88,Health Coach III,88,50,5,Plastic,Tanny Howles,Hypothermia
89,Product Engineer,89,81,96,Rubber,Adrian Vequaud,Outcome of delivery NOS
90,Social Worker,90,65,9,Wood,Annie Boydell,Isolated explosive dis
91,VP Marketing,91,22,40,Granite,Aile Mavin,"Cong hip sublux, bilat"
92,Senior Financial Analyst,92,54,10,Granite,Erl Bancroft,Screening for depression
93,Research Nurse,93,54,47,Glass,Valencia Meaney,War inj:nucl weapon NEC
94,Statistician IV,94,11,67,Rubber,Lynnett Beglin,Cl skul/oth fx-deep coma
95,Structural Analysis Engineer,95,27,28,Rubber,Mariann Pallin,Vomit compl preg-deliver
96,Clinical Specialist,96,4,99,Granite,Zerk Popov,Abdmnal tndr lft up quad
97,Software Consultant,97,2,62,Wood,Dolf George,2nd deg burn chin
98,Speech Pathologist,98,40,29,Wood,Drucill Emmens,"Row,canoe,kayk,raft,tube"
99,Account Representative II,99,10,95,Aluminum,Bunnie McGunley,Complete les cord/c1-c4
100,Health Coach I,100,68,25,Wood,Jarred Gwin,Adv eff medicinal NEC
101,Structural Engineer,101,29,4,Plexiglass,Ginevra Montel,TB lung infiltr-micro dx
102,Senior Financial Analyst,102,87,41,Wood,Diarmid Twydell,Contusion of hand(s)
103,Web Designer II,103,67,29,Brass,Keeley Creevy,Rubella in preg-unspec
104,Research Associate,104,25,94,Granite,Kippar Cobon,Hematemesis
105,Legal Assistant,105,97,80,Brass,Hyatt Zipsell,Hodg lymph-histio axilla
106,Payment Adjustment Coordinator,106,15,25,Plastic,Salomone Edgeson,Artic cartil dis-ankle
107,Software Test Engineer I,107,54,27,Plexiglass,Gerik Armatage,Poisoning-coagulants
108,Web Designer IV,108,51,86,Granite,Vivian Newbatt,Other air leak
109,Desktop Support Technician,109,9,30,Brass,Haydon Andrews,Toxic effect of tobacco
110,Paralegal,110,29,3,Plexiglass,Alexia Haws,Jt derangement NEC-ankle
111,Marketing Manager,111,97,80,Stone,Stephan Pennycord,Cndct dsrdr chldhd onst
112,Librarian,112,50,87,Stone,Winnifred Hazard,Squamous blepharitis
113,Help Desk Technician,113,37,68,Aluminum,Brittani Orans,Ob perineal trau NOS-del
114,Cost Accountant,114,20,57,Vinyl,Meryl Chesswas,Atrophy maxilla-minimal
115,Senior Developer,115,78,61,Stone,Elle Baldcock,Skin disorder NOS
116,Occupational Therapist,116,23,12,Wood,Moss McGreal,Oth specfd viral warts
117,Compensation Analyst,117,50,61,Plexiglass,Bernie Fitkin,Inj popliteal vessel NOS
118,Clinical Specialist,118,38,92,Wood,Jarret Gozard,Cervical (HPV) DNA pos
119,Account Executive,119,56,68,Granite,Zollie Poulter,Nontrauma comp syn NEC
120,Budget/Accounting Analyst IV,120,47,4,Steel,Armin Nelson,Poison-ent preparation
121,Research Assistant I,121,79,87,Plastic,Artemis Gustus,Ch emblsm veins NEC
122,Technical Writer,122,12,97,Plexiglass,Nevins Fouracres,Fall from playgrnd equip
123,Help Desk Operator,123,96,32,Brass,Anthia Drinnan,Traffic acc NOS-pers NEC
124,Research Assistant IV,124,43,88,Granite,Raimondo Caldero,Simp endo hyper w/o atyp
125,Actuary,125,32,70,Plexiglass,Buddie Roggers,Mal neo stomach cardia
126,VP Sales,126,98,13,Rubber,Robbert Lamberth,Hemorr/infarc thyroid
127,Administrative Assistant III,127,77,45,Plastic,Ingamar Creese,Excess attrition-local
128,Programmer III,128,25,13,Vinyl,Jeremie Simion,Path fx oth spcf prt fmr
129,Accountant III,129,74,52,Stone,Hazel Hanse,Part resolv traum catar
130,Budget/Accounting Analyst IV,130,93,11,Stone,Craig Baignard,Open wound of nose NOS
131,Human Resources Manager,131,91,96,Brass,Justino Nobles,One eye-severe/oth-total
132,Geologist II,132,66,69,Plastic,Kira Snashall,K. pneumoniae pneumonia
133,Research Nurse,133,12,20,Plexiglass,Andris Cino,Juxtapap focal retinitis
134,VP Accounting,134,100,93,Rubber,Tomas Samet,Boat acc inj NEC-docker
135,Quality Engineer,135,54,18,Stone,Billie Nijssen,Late eff accidental fall
136,Structural Engineer,136,51,54,Stone,Douglas Marrett,Malig neopl-transp organ
137,Quality Control Specialist,137,35,79,Plexiglass,Sabrina Bison,Aircraft acc-parachutist
138,Editor,138,82,52,Vinyl,Easter Coombs,Mal neo lymph node-mult
139,Web Designer III,139,28,3,Brass,Francisca Sang,Unc beh neo nerv sys NEC
140,Chemical Engineer,140,88,11,Steel,Dyan Grindley,Oral aphthae
141,Clinical Specialist,141,52,76,Plexiglass,Modestine Bontoft,Oval window fistula
142,Statistician I,142,48,78,Glass,Jock Belward,Stevens-Johnson syndrome
143,Nuclear Power Engineer,143,70,16,Plastic,Brenn Bloxsum,Ca in situ scalp
144,VP Product Management,144,36,27,Plastic,Kienan Bennett,Loss labyrn react unilat
145,Research Nurse,145,76,77,Vinyl,Roxane Espinha,Neoplasm related pain
146,Senior Editor,146,40,16,Rubber,Rhonda Waterland,RR acc w derail-pers NEC
147,Clinical Specialist,147,88,80,Plastic,Corrine Lancastle,Benign neo bronchus/lung
148,Product Engineer,148,67,38,Vinyl,Stephannie Jahan,Open wound of pharynx
149,VP Sales,149,23,74,Glass,Chloris Abate,Acc pois-lubricating oil
150,Software Consultant,150,97,19,Brass,Talbert Phlippsen,Length/adjust growth rod
151,Marketing Manager,151,4,39,Steel,Dolores Thandi,Rheumatic heart dis NOS
152,VP Quality Control,152,91,37,Steel,Vitia Panichelli,N-traf brd/alit-pers NEC
153,Geologist I,153,51,95,Glass,Godard Farge,Intestinovesical fistula
154,Office Assistant I,154,66,43,Steel,Briant Sarath,Coma
155,Human Resources Manager,155,78,20,Granite,Kiersten Habergham,Chr laryngotracheitis
156,Food Chemist,156,58,82,Glass,Brigg Kinzel,Felon
157,Health Coach II,157,6,5,Steel,Inez Craythorne,Matern hypotens-postpart
158,Payment Adjustment Coordinator,158,64,52,Plastic,Rees Greensite,Circumscri labyrinthitis
159,Mechanical Systems Engineer,159,54,61,Plexiglass,Fitz Roback,Inj mult nerve shldr/arm
160,Analyst Programmer,160,74,61,Wood,Talyah Makiver,Botulism food poisoning
161,Financial Analyst,161,66,75,Glass,Allix Yaknov,Loc osteoarth NOS-up/arm
162,Geologist III,162,68,50,Aluminum,Jobina Rosendorf,Post-traumatic seroma
163,Environmental Tech,163,34,27,Glass,Elbert de Pinna,Candidal enteritis
164,Help Desk Technician,164,86,50,Aluminum,Mathian Mapam,Osteomyelitis NOS-l/leg
165,Civil Engineer,165,68,26,Rubber,Fairfax Botley,Oth off-road mv-st car
166,Account Executive,166,86,44,Rubber,Selene Dabnor,Monoc exotrop w x/y pat
167,Programmer II,167,30,84,Rubber,Merill Swiers,Urethral stricture NOS
168,Administrative Officer,168,55,72,Steel,Leigha Lathaye,Cutaneous actinomycosis
169,Budget/Accounting Analyst III,169,75,59,Wood,Sara Lock,Hypertrophy T and A
170,Internal Auditor,170,43,65,Steel,Tristam Schruurs,Abn react-radiotherapy
171,Associate Professor,171,50,49,Vinyl,Florella Baudi,Unsat restore tooth NOS
172,Technical Writer,172,30,5,Brass,Caspar Vasquez,Diff connect tis dis NOS
173,Software Engineer IV,173,25,62,Steel,Davide Dobell,Syphilis-delivered w p/p
174,Help Desk Technician,174,80,4,Wood,Elmira Cordeix,Recur dislocat-forearm
175,Systems Administrator II,175,84,52,Steel,Filide Pine,C1-c4 fx-cl/cen cord syn
176,Account Executive,176,78,45,Wood,Chrisse Murrhardt,Schizoaffective dis-chr
177,Web Designer III,177,97,81,Brass,Siusan Stratz,Hemicrania continua
178,Food Chemist,178,72,22,Plastic,Welsh Pryce,Behcet arthritis-forearm
179,Help Desk Technician,179,6,61,Granite,Rafaelia Darnell,Toxic effect cadmium
180,Developer IV,180,88,40,Granite,Frannie Glascott,Intrathoracic inj NOS-cl
181,Teacher,181,47,80,Steel,Meade Nutman,Hx-ven thrombosis/embols
182,Senior Quality Engineer,182,28,60,Steel,Pace Sallier,Unpow aircrf acc-per NEC
183,Account Coordinator,183,13,71,Brass,Ermin Meachan,Sweating fever
184,Web Designer IV,184,24,78,Plexiglass,Kliment Lorrimer,Pulmonary anthrax
185,Budget/Accounting Analyst IV,185,67,53,Granite,Jolee Findlow,Poisoning-pyrazole deriv
186,Tax Accountant,186,8,56,Brass,Gregor Reen,Catatonia-remission
187,Programmer II,187,70,88,Plexiglass,Todd Sherwyn,Benign neoplasm eye NEC
188,Civil Engineer,188,30,14,Rubber,Cybill Friday,Venous thrombosis NOS
189,Web Designer I,189,80,52,Glass,Dino Rassell,Toxoplasma hepatitis
190,Internal Auditor,190,97,78,Stone,Magdaia Foreman,Exudat cyst pars plana
191,Administrative Assistant IV,191,70,39,Granite,Adi Reichartz,"Pressure ulcer,stage III"
192,Marketing Manager,192,3,53,Rubber,Rik McIlwreath,Carbuncle of leg
193,Staff Accountant I,193,73,18,Wood,Angelle Hassewell,"True post infarct,subseq"
194,Staff Scientist,194,28,39,Granite,Pen Huyhton,Birth asphyxia NOS
195,Budget/Accounting Analyst III,195,31,66,Plexiglass,Elbertine Tubbles,Acute nasopharyngitis
196,Junior Executive,196,88,96,Stone,Willi Dawney,Matern urine dis aff NB
197,Recruiting Manager,197,78,93,Plexiglass,Allyson Eisikovitsh,Bruch membrane dystrophy
198,GIS Technical Architect,198,79,74,Brass,Miranda Dipple,Laceration of eye NOS
199,Health Coach I,199,51,96,Plastic,Tammie MacAlpin,Toxic gastroenteritis
200,Senior Cost Accountant,200,1,39,Glass,Maddi Docksey,Family health probl NEC
201,Help Desk Operator,201,19,35,Plexiglass,Valentijn Dragon,Mitral stenosis
202,Human Resources Assistant III,202,19,71,Plastic,Herculie Wigfall,Chronic kidney dis NOS
203,Developer III,203,16,55,Vinyl,Molli Daggett,Fx low femur epiphy-clos
204,Office Assistant I,204,14,85,Wood,Melli Urpeth,Blister shoulder & arm
205,Recruiting Manager,205,75,85,Steel,Alexina Suerz,Compl deliv NOS-antepar
206,Tax Accountant,206,73,53,Granite,Dalli Zienkiewicz,Schizophr dis resid NOS
207,Tax Accountant,207,80,50,Steel,Eloisa Dalley,Inj nerve root/plex NOS
208,Community Outreach Specialist,208,61,43,Steel,Simona Mountfort,Burn NOS scapula
209,Recruiter,209,36,78,Granite,Aldrich Cleave,Chondrodystrophy
210,Legal Assistant,210,17,5,Granite,Harris Groneway,Bartholin's glnd abscess
211,Graphic Designer,211,92,29,Granite,Aidan Stuther,Birth asphyxia NOS
212,Staff Scientist,212,68,22,Plastic,Gunther Slad,Cong catar/lens anom NEC
213,VP Quality Control,213,39,55,Stone,Candy Scarbarrow,Drug persisting dementia
214,Analog Circuit Design manager,214,43,8,Granite,Kaine Stebles,Undeterm circ-scald
215,Senior Sales Associate,215,78,22,Vinyl,Arnoldo Holhouse,Ac embl internl jug vein
216,Staff Accountant II,216,4,84,Plexiglass,Quentin Giacobbo,Rectal & anal stenosis
217,Registered Nurse,217,58,61,Plastic,Pat Kattenhorn,Drug induced myotonia
218,Systems Administrator I,218,50,41,Glass,Phoebe Jorn,Pervasv dev dis-cur NOS
219,Geological Engineer,219,84,21,Plastic,Scottie Malenfant,Acc poison-herbicides
220,Clinical Specialist,220,41,71,Wood,Suzi Lennox,Hx stress fracture
221,Speech Pathologist,221,92,33,Glass,Carmel Nickolls,Crimean hemorrhagic fev
222,Statistician I,222,12,49,Glass,Gennie Mahedy,Eye disorders NEC
223,Staff Accountant I,223,74,19,Brass,Jacquelin Dunkerley,Hypoglycemia NOS
224,Administrative Officer,224,86,38,Rubber,Eolanda Butte,Malign neopl arm
225,Programmer III,225,34,12,Steel,Evangelia Whitington,Explosion-occ unpow boat
226,Sales Associate,226,8,69,Plastic,Brigg Chatten,Leptospiros icterohem
227,Help Desk Operator,227,71,2,Brass,Alli Joontjes,Streptococcus group a
228,Help Desk Technician,228,79,57,Plexiglass,Inesita Kemsley,Late eff cran nerve inj
229,Environmental Specialist,229,3,100,Wood,Fara Whitloe,Postconcussion syndrome
230,Health Coach II,230,6,21,Brass,Tracy Heaphy,Cord prolapse-antepartum
231,Recruiting Manager,231,97,81,Aluminum,Dael Alf,Low birthwt status NOS
232,Media Manager I,232,92,2,Vinyl,Quinton Pietrzyk,Edema in preg-unspec
233,Software Test Engineer III,233,58,2,Plastic,Deane Springthorpe,Inflammation eyelid NEC
234,Structural Engineer,234,16,44,Rubber,Donetta Normington,Fragile x syndrome
235,Technical Writer,235,6,3,Plastic,Irene Abramovicz,Opn skul vlt fx-brf coma
236,Administrative Assistant IV,236,43,36,Glass,Addie Hentzeler,Preg w hx-trophoblas dis
237,Account Representative IV,237,32,92,Plexiglass,Matty Fairbrother,Face/brow pres-antepart
238,Research Assistant III,238,73,94,Plexiglass,Hanni Beauvais,Basal cell ca skn up lmb
239,Professor,239,78,62,Vinyl,Bennie McGorman,Pervasv dev dis-cur NEC
240,Chemical Engineer,240,71,37,Brass,Sebastien Treharne,Thyroid dysfun preg-unsp
241,VP Quality Control,241,46,51,Granite,Loise Whitmell,TB urinary NEC-cult dx
242,Civil Engineer,242,52,88,Glass,Dun Annwyl,Osteoarthros NOS-pelvis
243,Software Test Engineer IV,243,5,73,Wood,Melisandra Rushford,TB sp crd absc-micro dx
244,GIS Technical Architect,244,17,12,Brass,Elfrieda Hovington,Chr kidney dis stage III
245,Payment Adjustment Coordinator,245,55,22,Rubber,Tyson Severs,Malunion of fracture
246,Developer I,246,85,8,Rubber,Franchot Albasiny,Preglaucoma NOS
247,Senior Quality Engineer,247,88,93,Glass,Wilek Dallinder,Infer disloc humerus-cl
248,Information Systems Manager,248,57,73,Vinyl,Cecile Yeeles,Acc poison-alcohol NEC
249,Assistant Manager,249,16,73,Stone,Damara Kildale,Fx fibula shaft-open
250,General Manager,250,85,66,Steel,Ginnie Glassup,Toxic effect of tobacco
251,Data Coordinator,251,21,98,Stone,Eduardo Carlone,Syphilitic uveitis NOS
252,Food Chemist,252,22,96,Stone,Sibilla Raistrick,Musc disuse atrophy NEC
253,Internal Auditor,253,18,37,Aluminum,Drona Branchet,Chronic dacryocystitis
254,Database Administrator I,254,60,74,Steel,Jemmie Nel,Late sympt syphilis NOS
255,Recruiting Manager,255,65,99,Plexiglass,Aryn Colhoun,Smallpox NOS
256,GIS Technical Architect,256,87,84,Wood,Geoffry Warret,30-39% bdy brn/10-19% 3d
257,Analog Circuit Design manager,257,71,86,Granite,Junie Cheves,Spinal cord disease NOS
258,Account Coordinator,258,93,53,Rubber,Allegra Rowlstone,Insuf interocclusl-teeth
259,Chemical Engineer,259,81,83,Vinyl,Noelle Gerson,Ac post-trauma headache
260,Account Representative II,260,91,17,Aluminum,Jewelle Cholerton,Orofacial dyskinesia
261,Quality Control Specialist,261,78,26,Aluminum,Rozelle Ida,Aplastic anemias NEC
262,Information Systems Manager,262,42,13,Brass,Anya Gon,Fetal dispro NOS-antepar
263,Help Desk Technician,263,99,50,Brass,Reggis Syfax,Ac sphenoidal sinusitis
264,Help Desk Technician,264,40,72,Wood,Christyna Matula,Ac pul manif d/t radiat
265,Web Developer IV,265,83,76,Wood,Sharron Edginton,Bsl cell ca skn site NEC
266,Geological Engineer,266,80,93,Wood,Inglis Whistan,Middle ear anomaly NEC
267,Professor,267,85,77,Plexiglass,Giordano Vanyarkin,Hx-urinary malignan NEC
268,Chief Design Engineer,268,70,76,Granite,Augustine Lilley,Carpal tunnel syndrome
269,Quality Control Specialist,269,82,65,Plexiglass,Michell Minister,Basal cell ca skin trunk
270,Pharmacist,270,57,81,Plexiglass,Maxie Blowin,Fx up tibia w fibula-cl
271,Associate Professor,271,43,47,Vinyl,Svend Cobain,Abn pelv NEC-deliv w p/p
272,Statistician II,272,31,76,Plexiglass,Denny Blackesland,N-traf brd/alit-ped cycl
273,Software Engineer III,273,81,100,Granite,Daphne Harder,Cong tot/subtot cataract
274,Quality Control Specialist,274,97,45,Stone,Barb Davidowsky,Friedreich's ataxia
275,Account Executive,275,98,98,Plexiglass,Rakel Hirtzmann,Madura foot
276,Quality Control Specialist,276,100,66,Steel,Horton Gilluley,Burn NOS hand-unspec
277,Senior Cost Accountant,277,39,85,Stone,Juliann Dilke,Joint dis NOS-up/arm
278,Budget/Accounting Analyst I,278,34,20,Plexiglass,Karl Goreway,Mild stage glaucoma
279,Safety Technician IV,279,55,39,Glass,Doretta Queripel,3rd burn w loss-site NOS
280,Legal Assistant,280,65,81,Rubber,Livy Kasbye,Jt contracture-forearm
281,Recruiting Manager,281,87,99,Granite,Anthia Grosvenor,"Subendo infarct, initial"
282,GIS Technical Architect,282,88,8,Glass,Hyacinthie Biddlestone,Vertiginous synd NOS
283,Social Worker,283,98,9,Brass,Camilla Arch,Abn cervix NEC-delivered
284,Nuclear Power Engineer,284,13,22,Brass,Egon Muldoon,B12 defic anemia NEC
285,Payment Adjustment Coordinator,285,71,74,Plexiglass,Gerianna Biagi,Thrombophlebitis-deliver
286,Senior Cost Accountant,286,13,22,Aluminum,Chery Wolford,General medical exam NOS
287,VP Product Management,287,87,99,Steel,Fredek Hirschmann,Ab NOS w embolism-comp
288,Systems Administrator II,288,2,38,Glass,Dorotea Keenleyside,Path fx oth spcf prt fmr
289,Account Coordinator,289,46,44,Aluminum,Willey Baggett,Perivent leukomalacia
290,Sales Associate,290,50,53,Granite,Alberto Beresford,Hypochondriasis
291,GIS Technical Architect,291,55,11,Stone,Ardys Lewnden,Vacuuming
292,Programmer Analyst IV,292,19,44,Vinyl,Donovan Sancroft,Noninfect vag leukorrhea
293,Desktop Support Technician,293,26,25,Plastic,Mikaela Incogna,Anphylct react crstacns
294,Occupational Therapist,294,24,93,Rubber,Nicko Bendelow,90% + bdy brn/40-49% 3rd
295,Health Coach IV,295,65,10,Rubber,Deva Burdytt,Open wound of face NEC
296,Executive Secretary,296,37,95,Plastic,Jillayne Cotgrave,Basal cell ca skin trunk
297,Paralegal,297,32,72,Brass,Fayina Gerrietz,Cong varus foot def NEC
298,Information Systems Manager,298,89,50,Glass,Marlene Beynke,Lacrimal syst dis NEC
299,Geological Engineer,299,96,3,Rubber,Ulrika Lamcken,Gc cervicitis (acute)
300,VP Product Management,300,33,28,Brass,Carr Loutheane,Cl skul base fx-brf coma
301,Structural Engineer,301,100,93,Wood,Chlo MacGeaney,Squam cell ca skn up lmb
302,Nurse,302,41,49,Plastic,Chet Rodway,Senile psychot cond NOS
303,Biostatistician I,303,33,82,Rubber,Helga Eudall,3rd burn w loss-elbow
304,Physical Therapy Assistant,304,77,53,Brass,Papageno Devote,TB bone/jt NOS-cult dx
305,Programmer Analyst II,305,46,87,Wood,Fons Hainey,Alcoh dep NEC/NOS-episod
306,Geological Engineer,306,19,36,Plastic,Shepperd Sollam,Oth spcf chlamydial infc
307,Dental Hygienist,307,72,91,Wood,Jessalyn Unworth,Water/watercraft
308,Media Manager II,308,4,67,Wood,Marcelline Heintzsch,Aortic aneurysm NOS
309,Associate Professor,309,9,66,Steel,Lilia Paolotto,Hodgkins dis NOS mult
310,Registered Nurse,310,75,66,Aluminum,Ollie Phoenix,Cong cystic liver dis
311,Design Engineer,311,58,82,Vinyl,Debby Eustes,Depressive psychosis-mod
312,Assistant Media Planner,312,79,25,Plastic,Brendon Iuorio,Joint replaced knee
313,Help Desk Operator,313,59,96,Wood,Kalindi Sperring,Fitting artificial arm
314,Assistant Professor,314,14,30,Plexiglass,Lyon Linham,Benign carcinoid thymus
315,Account Coordinator,315,89,27,Granite,Kata Blakebrough,Toxic eff sulfur dioxide
316,Recruiting Manager,316,55,71,Granite,Hayley Doram,Ectpc prg NEC w int preg
317,Staff Accountant I,317,8,65,Aluminum,Skippy Tritten,Dermatophytosis of nail
318,Teacher,318,27,99,Plastic,Calhoun Oloman,Toxocariasis
319,Community Outreach Specialist,319,36,6,Aluminum,Raddy Briars,Prt circmpap choroid dys
320,Pharmacist,320,60,18,Wood,Sargent Parradine,Dysenter arthrit-hand
321,Analyst Programmer,321,62,93,Plastic,Ashli Streader,Intermit monoc esotropia
322,Editor,322,53,55,Stone,Darby Sheridan,Sarcoidosis
323,Senior Cost Accountant,323,25,76,Brass,Jeffie McGorley,"Condctv hear loss, bilat"
324,Accountant II,324,93,5,Steel,Austine Solland,Unc behav neo skin
