employee_id,employee_firstname,employee_lastname,employee_dob,employee_gender,employee_contact_number,employee_id_card_no,employee_emergency_contact_name,employee_emergency_contact_number,employee_status,employee_employment_type,employee_department,employee_position,employee_hire_date,employee_termination_date,employee_employment_status,employee_manager,employee_salary_info,employee_benefits
47,Lyman,Teanby,10/11/2022,Male,2979170751,4566790649,Lyman Teanby,6168613551,Male,Monthly,64806,47,7/25/2023,9/10/2023,Male,47,47,1870921607
48,Kylila,Caygill,3/15/2023,Female,8554870840,8885726313,Kylila Caygill,2298241867,Female,Never,86,48,7/27/2023,7/23/2023,Male,48,48,9464334991
49,Goldina,Witherington,1/18/2023,Female,8985255550,1222787644,Goldina Witherington,6533969816,Female,Often,3095,49,4/1/2023,7/1/2023,Female,49,49,1267839198
50,Michaela,Dunbabin,10/4/2022,Female,8588943806,6861135496,Michaela Dunbabin,3738479409,Male,Monthly,07510,50,10/20/2023,10/15/2023,Female,50,50,3728000159
51,Ira,Borel,2/16/2022,Male,7155799690,5867569942,Ira Borel,6453175757,Male,Monthly,381,51,9/8/2023,6/10/2023,Female,51,51,3441819403
52,Merv,Beeho,2/23/2023,Male,1483057828,4099955141,Merv Beeho,2222327450,Female,Monthly,057,52,4/21/2023,9/14/2023,Male,52,52,7338117764
53,Angelina,Olland,5/22/2023,Female,9291044898,2173953109,Angelina Olland,5305495189,Male,Often,69,53,3/27/2023,4/2/2023,Female,53,53,5938150663
54,Lois,Harbage,5/17/2022,Female,5545774953,9541475957,Lois Harbage,6464089978,Female,Daily,22,54,3/28/2023,1/14/2023,Female,54,54,6178810954
55,Dell,Mannock,5/20/2022,Agender,2195050889,1890837199,Dell Mannock,8787600882,Male,Once,08966,55,10/24/2023,5/15/2023,Male,55,55,4673138317
56,Marrissa,Critchell,2/10/2023,Female,6843567216,0080384757,Marrissa Critchell,5199176276,Male,Yearly,84093,56,1/27/2023,1/4/2023,Female,56,56,2284016677
57,Dalis,McQuorkell,10/22/2023,Genderfluid,3633826315,4441280432,Dalis McQuorkell,9206085096,Male,Never,69973,57,11/6/2023,10/2/2023,Female,57,57,9572973622
58,Olenolin,Saltern,9/10/2023,Male,8931206748,3138586740,Olenolin Saltern,8772338173,Female,Yearly,27,58,8/27/2023,4/23/2023,Female,58,58,1902251075
59,Wright,Jewitt,5/16/2023,Male,7902827763,0314970754,Wright Jewitt,3364186588,Male,Often,1,59,10/12/2023,4/25/2023,Female,59,59,5131302102
60,Tiebout,Skally,1/2/2023,Male,5521833728,2785415167,Tiebout Skally,6715907500,Female,Weekly,81,60,2/12/2023,12/13/2022,Male,60,60,3921014298
61,Zane,Risbrough,7/19/2023,Male,6931865905,7955216733,Zane Risbrough,2499164810,Female,Monthly,6904,61,7/15/2023,1/15/2023,Male,61,61,3170854585
62,Kaylee,Wakelam,1/16/2023,Female,7785962971,5858066720,Kaylee Wakelam,8948697160,Female,Often,33,62,11/8/2023,11/24/2023,Male,62,62,5422700104
63,Petronille,Tylor,7/24/2022,Female,5737495764,2137389975,Petronille Tylor,2542425923,Male,Weekly,20292,63,9/29/2023,7/7/2023,Male,63,63,9799868882
64,Abba,Corkan,9/16/2022,Male,7115036346,0934882134,Abba Corkan,9863316191,Female,Daily,9,64,8/11/2023,11/24/2023,Male,64,64,3894966386
65,Quillan,Croy,10/3/2022,Male,9468761665,3889580602,Quillan Croy,7034385380,Male,Never,6201,65,6/25/2023,4/24/2023,Female,65,65,8624589614
66,Florri,Shark,8/29/2022,Female,8252710534,1117510077,Florri Shark,3494988464,Female,Never,29977,66,4/19/2023,10/24/2023,Male,66,66,3270409516
67,Brit,O'Corhane,8/18/2022,Male,5042708700,2081929392,Brit O'Corhane,1949037863,Female,Often,12858,67,4/21/2023,9/10/2023,Male,67,67,4597365745
68,Fulvia,Feather,9/24/2022,Non-binary,2721729098,5989698925,Fulvia Feather,1351774817,Female,Once,4088,68,4/6/2023,9/21/2023,Female,68,68,5592414463
69,Ford,Shewery,10/19/2022,Male,9055558082,5673249519,Ford Shewery,1405242802,Female,Monthly,1752,69,12/23/2022,9/2/2023,Female,69,69,8626695128
70,Fayth,Kordt,3/20/2023,Female,3429428855,6811472952,Fayth Kordt,3542160676,Male,Yearly,0,70,3/28/2023,7/23/2023,Female,70,70,5913719220
71,Kacie,Lanahan,10/13/2022,Female,6845150106,4474292146,Kacie Lanahan,1892757391,Female,Often,12146,71,4/30/2023,8/12/2023,Male,71,71,9170598924
72,Libbie,Grimestone,2/2/2023,Female,3769502966,9318619561,Libbie Grimestone,6084135524,Male,Seldom,4374,72,8/2/2023,10/11/2023,Male,72,72,2134174064
73,Rakel,Siggers,4/25/2023,Female,2021157511,4110017688,Rakel Siggers,2139901195,Male,Often,0,73,8/24/2023,8/10/2023,Female,73,73,8735038721
74,Melania,Doohey,9/29/2023,Female,4934843911,2435380704,Melania Doohey,6569810317,Female,Never,1986,74,8/27/2023,7/14/2023,Male,74,74,1188845756
75,Janella,Colbrun,5/22/2022,Female,7638067870,0540364789,Janella Colbrun,3456626237,Male,Daily,90315,75,8/14/2023,7/9/2023,Male,75,75,5446420543
76,Idell,MacClinton,6/26/2023,Female,4793966424,7733963613,Idell MacClinton,3617190157,Female,Yearly,35,76,4/9/2023,3/25/2023,Female,76,76,5770345659
77,Lanae,Ardling,12/9/2021,Female,4954588834,5487181357,Lanae Ardling,7431341876,Female,Weekly,45581,77,5/16/2023,11/5/2023,Female,77,77,8441873313
78,Vannie,Kleynen,1/29/2023,Female,3108915179,1860906990,Vannie Kleynen,2002480085,Female,Once,5,78,1/31/2023,11/9/2023,Male,78,78,2187818039
79,Emmy,Pettett,2/19/2023,Female,3357546128,1598053884,Emmy Pettett,4477678353,Female,Yearly,76072,79,1/20/2023,1/13/2023,Male,79,79,7061356146
80,Carmelita,Beckford,11/21/2023,Female,1598514205,8540130076,Carmelita Beckford,8511123951,Male,Never,8,80,1/15/2023,5/19/2023,Male,80,80,6957099296
81,Leonidas,Minker,4/7/2022,Male,5466542564,8149277188,Leonidas Minker,8477643562,Male,Monthly,71,81,7/26/2023,8/23/2023,Female,81,81,3263328816
82,Korella,Kippling,5/28/2022,Female,5266289868,9773998819,Korella Kippling,4826706891,Female,Never,67,82,5/6/2023,7/7/2023,Female,82,82,7055756057
83,Tull,Conman,2/10/2022,Male,4717891223,2973877377,Tull Conman,5927711276,Female,Monthly,848,83,6/22/2023,10/2/2023,Female,83,83,0711494479
84,Paulette,Libbe,4/21/2022,Female,1479522292,1147221006,Paulette Libbe,7134327191,Male,Yearly,029,84,6/5/2023,7/26/2023,Male,84,84,6843691870
85,Jamie,MacArte,3/22/2022,Male,1199918405,8422576015,Jamie MacArte,6198839282,Male,Once,85,85,6/9/2023,10/10/2023,Female,85,85,3260461663
86,Danita,Sokill,1/7/2022,Female,2809801062,7674944670,Danita Sokill,4446436389,Male,Often,72110,86,6/9/2023,7/15/2023,Female,86,86,4637693667
87,Tyson,Swinfon,12/19/2022,Male,8201425493,1719173834,Tyson Swinfon,7541083475,Male,Yearly,39957,87,2/22/2023,2/5/2023,Male,87,87,1234990431
88,Hobie,Egleton,12/20/2021,Male,1465338055,2452055247,Hobie Egleton,6685294125,Male,Weekly,678,88,8/14/2023,3/15/2023,Female,88,88,0437096459
89,Laurens,Rain,8/25/2022,Male,9129824052,5879897281,Laurens Rain,1131673958,Female,Monthly,66,89,11/9/2023,10/22/2023,Male,89,89,2857173156
90,Thadeus,Fendlen,4/11/2023,Male,2388806815,0606713972,Thadeus Fendlen,3992268121,Male,Weekly,2,90,2/11/2023,8/2/2023,Male,90,90,4506291409
91,Trstram,Crigin,12/30/2021,Male,8244750490,6830069521,Trstram Crigin,3033390103,Female,Often,54,91,7/8/2023,9/4/2023,Female,91,91,8450507308
92,Mariel,Tudge,1/4/2022,Female,3416744263,3607598320,Mariel Tudge,5476750950,Female,Yearly,4,92,5/9/2023,4/26/2023,Male,92,92,1408381109
93,Skippy,Pudding,3/1/2023,Male,7349480505,6931809490,Skippy Pudding,6093426451,Female,Often,26,93,6/17/2023,9/6/2023,Female,93,93,2772747611
94,Shena,Marler,2/18/2023,Female,4925322520,2524805166,Shena Marler,2006508555,Male,Never,5502,94,1/20/2023,7/11/2023,Female,94,94,1867726602
95,Rance,Brinded,3/2/2022,Male,1829701669,3997973504,Rance Brinded,8684554128,Male,Weekly,19223,95,12/30/2022,3/17/2023,Male,95,95,9656069064
96,Vanna,Stevenson,3/26/2022,Female,9897708180,0476076579,Vanna Stevenson,9451194120,Female,Often,7,96,1/20/2023,12/3/2022,Female,96,96,2842086678
97,Karlis,Camerello,3/8/2023,Male,9346828514,7220104561,Karlis Camerello,6849110109,Male,Once,49502,97,3/27/2023,1/28/2023,Female,97,97,2397816709
98,Milt,Lehrmann,10/3/2022,Agender,5141507499,8727149587,Milt Lehrmann,3476160251,Male,Never,5,98,12/23/2022,8/15/2023,Female,98,98,1916816576
99,Felita,Danneil,12/29/2022,Female,1426877243,1597669733,Felita Danneil,1762053358,Male,Never,3,99,4/10/2023,9/5/2023,Female,99,99,7435072702
100,Vinita,Dowthwaite,8/11/2022,Female,7281153606,8146172458,Vinita Dowthwaite,9245131702,Male,Never,4,100,1/21/2023,5/15/2023,Male,100,100,8098458067
101,Carilyn,Ramirez,8/7/2022,Female,4514243683,0032251475,Carilyn Ramirez,2891025345,Female,Daily,604,101,5/25/2023,6/27/2023,Male,101,101,2830179625
102,Serena,Zanelli,8/27/2023,Female,7931955227,8783728953,Serena Zanelli,3422175432,Female,Monthly,22,102,3/21/2023,4/18/2023,Female,102,102,1657725596
103,Jeannine,Fisbey,10/5/2023,Polygender,8223776083,9506589445,Jeannine Fisbey,1026959040,Female,Weekly,03961,103,12/12/2022,3/1/2023,Female,103,103,2995630005
104,Addie,Gheraldi,9/21/2022,Male,4922697695,6742966939,Addie Gheraldi,6067686715,Male,Monthly,36,104,3/6/2023,10/19/2023,Male,104,104,2181987416
105,Bryant,Urlin,4/27/2023,Male,7131981157,5005916237,Bryant Urlin,1874555354,Female,Never,985,105,12/6/2022,9/4/2023,Male,105,105,1793476675
106,Etienne,Painswick,8/5/2022,Male,6555993841,4916564669,Etienne Painswick,2869699151,Male,Once,11,106,12/16/2022,1/4/2023,Male,106,106,9904242453
107,Felicia,Burtwell,7/29/2023,Female,4194599662,0635684497,Felicia Burtwell,8387802297,Female,Never,261,107,6/30/2023,4/11/2023,Female,107,107,5907833130
108,Jorie,Ickovits,11/7/2022,Female,7131294554,2717984283,Jorie Ickovits,2891507349,Female,Never,93883,108,7/10/2023,5/2/2023,Female,108,108,2203918942
109,Ingelbert,Pountney,7/25/2023,Male,1356187746,5036939832,Ingelbert Pountney,3173496565,Male,Never,6,109,3/25/2023,6/3/2023,Male,109,109,9433226623
110,Barbabra,Valsler,7/21/2022,Female,2389502907,0127958525,Barbabra Valsler,1381458391,Male,Seldom,9241,110,3/10/2023,7/25/2023,Male,110,110,0436003279
111,Tami,Prue,12/5/2021,Female,5015208435,0398898472,Tami Prue,8081817931,Female,Daily,6441,111,2/21/2023,6/27/2023,Male,111,111,6789992065
112,Blake,Kings,3/28/2023,Male,3309867087,1118029747,Blake Kings,5105828502,Female,Yearly,95,112,2/9/2023,1/19/2023,Male,112,112,0267907966
113,Nye,Poytres,5/6/2023,Male,2253948190,5197273755,Nye Poytres,4972195147,Male,Seldom,900,113,7/23/2023,2/17/2023,Female,113,113,7105010665
114,Annabelle,Dubble,3/24/2023,Female,8509916496,4564538683,Annabelle Dubble,1537061916,Male,Once,220,114,9/9/2023,8/28/2023,Male,114,114,2040785698
115,Donna,Bernt,6/23/2022,Female,8618854460,1951336089,Donna Bernt,5027506482,Male,Yearly,95,115,9/21/2023,2/10/2023,Female,115,115,4479382194
116,Jamaal,Foch,1/15/2023,Male,8011053614,8902200841,Jamaal Foch,7625240059,Female,Yearly,050,116,9/20/2023,5/15/2023,Male,116,116,0493748229
117,Abby,Edwicke,5/30/2023,Female,1917544189,4036234803,Abby Edwicke,9883785622,Male,Daily,4,117,6/5/2023,4/20/2023,Male,117,117,1033469661
118,Meg,Arnaudot,9/27/2023,Bigender,1906603261,2057459004,Meg Arnaudot,2591624674,Male,Monthly,37313,118,12/29/2022,5/22/2023,Male,118,118,1926286715
119,Kerrie,Janeway,6/30/2022,Female,1334357455,2412420378,Kerrie Janeway,5051341523,Female,Often,7,119,4/19/2023,3/6/2023,Female,119,119,8197212686
120,Bridget,Oehm,1/16/2022,Female,4923178644,5258608255,Bridget Oehm,6979548167,Male,Yearly,465,120,10/10/2023,6/16/2023,Male,120,120,6364813887
121,Clark,Houlston,4/16/2023,Male,5559040655,1589453115,Clark Houlston,8048807102,Female,Never,2,121,9/27/2023,9/11/2023,Female,121,121,1507089953
122,Colette,Durrans,6/16/2022,Female,1538218856,5834132669,Colette Durrans,5289591606,Male,Yearly,3,122,5/31/2023,3/4/2023,Male,122,122,9528982328
123,Dulsea,Dunlop,3/20/2023,Female,2128971151,6884507071,Dulsea Dunlop,2731335506,Male,Monthly,1,123,2/18/2023,1/21/2023,Male,123,123,5691634895
124,Dayle,Mapowder,5/14/2022,Female,7149287781,4952304795,Dayle Mapowder,3713831656,Female,Once,19455,124,12/22/2022,6/11/2023,Male,124,124,1709426799
125,Patty,Klaesson,10/24/2022,Male,1397532904,6890727835,Patty Klaesson,3523623906,Female,Once,9,125,4/25/2023,4/10/2023,Male,125,125,7975169897
126,Giffer,Aven,8/19/2023,Male,9323790790,9921665332,Giffer Aven,8829258851,Male,Weekly,24,126,2/7/2023,6/8/2023,Female,126,126,8687546777
127,Richmond,Luchetti,3/18/2022,Male,9207900847,7849389905,Richmond Luchetti,4691148520,Female,Daily,9,127,8/20/2023,11/3/2023,Female,127,127,7999183024
128,Clare,Starbucke,4/19/2022,Male,9598947189,0525751106,Clare Starbucke,6978563813,Male,Never,23111,128,12/13/2022,8/23/2023,Male,128,128,2175398935
129,Mona,Mattusevich,3/22/2023,Female,8127924693,3437646915,Mona Mattusevich,3136781843,Male,Weekly,12,129,12/20/2022,9/19/2023,Female,129,129,1145809731
130,Gavra,McConville,3/11/2022,Female,4415199829,0501055649,Gavra McConville,3308017011,Female,Weekly,947,130,4/25/2023,8/30/2023,Female,130,130,2902385528
131,Nikola,McInerney,4/7/2022,Male,1818911126,1244825786,Nikola McInerney,2236010022,Female,Monthly,85,131,6/3/2023,1/25/2023,Male,131,131,5694701941
132,Brnaba,Pescod,4/7/2023,Male,4918365645,8028995578,Brnaba Pescod,9141344660,Female,Often,08540,132,8/17/2023,6/6/2023,Male,132,132,5274285775
133,Nickola,Batecok,6/4/2023,Male,1564959354,9666752115,Nickola Batecok,4017328022,Female,Monthly,2,133,1/1/2023,6/15/2023,Female,133,133,7359062225
134,Mathew,Kitter,1/31/2022,Male,9654249783,6294910188,Mathew Kitter,4395864317,Female,Daily,58015,134,9/22/2023,3/12/2023,Female,134,134,7840258832
135,Meryl,Terrazzo,10/6/2023,Male,9374959855,7937266325,Meryl Terrazzo,8367314816,Male,Seldom,0,135,6/1/2023,10/3/2023,Male,135,135,2506504761
136,Fergus,Shitliffe,9/9/2022,Male,4966780606,2832714277,Fergus Shitliffe,3575206532,Male,Daily,632,136,1/29/2023,2/19/2023,Male,136,136,1199082309
137,Courtnay,Gallico,11/12/2023,Male,9359978226,1339180596,Courtnay Gallico,9275834328,Female,Daily,7705,137,10/6/2023,9/14/2023,Female,137,137,2563472369
138,Taite,Tomasian,4/24/2022,Male,5354921175,6386959329,Taite Tomasian,2028192613,Female,Seldom,2,138,7/25/2023,5/29/2023,Male,138,138,7851953987
139,Alyda,Footer,7/24/2022,Female,1588576160,0151487006,Alyda Footer,1184322641,Male,Never,65,139,12/6/2022,4/13/2023,Female,139,139,7513225133
140,Jenna,Pitcaithley,3/23/2023,Female,8184910218,5204191305,Jenna Pitcaithley,9203516833,Male,Monthly,3,140,3/23/2023,3/13/2023,Male,140,140,6223322291
141,Gwyn,Emons,12/16/2022,Genderqueer,7624281141,7732846230,Gwyn Emons,9074800324,Female,Often,88,141,9/24/2023,8/20/2023,Female,141,141,5223244737
142,Dennie,Fairholm,4/25/2022,Male,4219851197,4330924021,Dennie Fairholm,2397303401,Male,Never,41431,142,7/10/2023,2/20/2023,Male,142,142,6655436443
143,Ollie,Greenside,8/21/2023,Male,9811982096,5159979611,Ollie Greenside,3081642967,Male,Daily,1,143,5/19/2023,10/1/2023,Male,143,143,3901893679
144,Felicio,Stirtle,10/15/2022,Male,1349671417,9547560530,Felicio Stirtle,1966351496,Female,Weekly,3656,144,3/25/2023,7/29/2023,Male,144,144,2463253819
145,Leese,Revel,9/10/2023,Female,8468369593,5839861731,Leese Revel,5606241610,Male,Seldom,06497,145,11/29/2022,10/15/2023,Female,145,145,7398211384
146,Sim,Longridge,7/14/2022,Male,8171580192,2720764302,Sim Longridge,7493047902,Male,Daily,309,146,9/28/2023,1/25/2023,Female,146,146,0621255076
147,Cristy,Lanaway,10/3/2023,Female,6272815603,9875892440,Cristy Lanaway,8874665133,Female,Monthly,0503,147,3/2/2023,6/3/2023,Male,147,147,0612932044
148,Sidnee,Mattingley,8/17/2022,Male,7879800948,8825452624,Sidnee Mattingley,3823242850,Female,Seldom,9,148,6/5/2023,7/6/2023,Female,148,148,6427108824
149,Zak,Gumary,8/27/2022,Male,7069038928,0312311222,Zak Gumary,4183951961,Male,Daily,0,149,9/3/2023,12/6/2022,Male,149,149,2043258184
150,Fidole,Greggersen,11/15/2023,Male,6433250410,6546073293,Fidole Greggersen,9428311208,Female,Once,05,150,8/31/2023,8/30/2023,Female,150,150,4864073260
151,Ulrica,Taffrey,6/20/2022,Female,6638594058,6562687012,Ulrica Taffrey,4738571123,Male,Yearly,5954,151,3/19/2023,5/28/2023,Male,151,151,9022330540
152,Sansone,Bertolaccini,4/1/2023,Polygender,4488068860,9972436454,Sansone Bertolaccini,5738613618,Male,Once,726,152,8/21/2023,12/15/2022,Male,152,152,7276419614
153,Willie,Burgoin,5/27/2022,Male,6105518683,5428139196,Willie Burgoin,7516570733,Male,Daily,5,153,12/12/2022,4/5/2023,Male,153,153,5936770141
154,Anna-diana,Wiffield,2/18/2023,Female,9045694696,2848372923,Anna-diana Wiffield,1521732976,Female,Seldom,08361,154,9/25/2023,5/29/2023,Male,154,154,7011068562
155,Isidoro,MacCartan,2/16/2023,Male,3304624011,9820120543,Isidoro MacCartan,4825682357,Female,Yearly,767,155,10/24/2023,6/1/2023,Female,155,155,9528944027
156,Joaquin,Harrod,6/13/2022,Male,7837373532,3808093862,Joaquin Harrod,6268845372,Male,Often,464,156,5/13/2023,11/7/2023,Male,156,156,6552873069
157,Luis,Rembrant,8/22/2022,Male,9989081228,6407932025,Luis Rembrant,2052643312,Male,Monthly,6078,157,9/8/2023,7/7/2023,Male,157,157,0663024331
158,Zed,Sames,5/11/2022,Male,8708845216,5371963790,Zed Sames,3966025540,Male,Seldom,0520,158,2/3/2023,3/11/2023,Female,158,158,8050609685
159,Paten,Hamnett,12/3/2022,Male,7719267865,9068556495,Paten Hamnett,2435675408,Male,Once,160,159,11/17/2023,3/16/2023,Female,159,159,5706561036
160,Reinhard,Clearie,8/10/2023,Male,9937707915,1308601085,Reinhard Clearie,4174410690,Female,Once,5,160,12/12/2022,3/21/2023,Male,160,160,5238809093
161,Agatha,Waadenburg,1/1/2022,Female,2273005922,3852755123,Agatha Waadenburg,5437213678,Female,Yearly,57297,161,4/10/2023,7/21/2023,Male,161,161,9386786834
162,Darcy,Haddy,3/2/2023,Female,1695501425,4752139693,Darcy Haddy,5943157657,Male,Once,45,162,9/15/2023,8/6/2023,Female,162,162,3003264230
163,Veradis,Cato,2/7/2023,Polygender,9327518128,3361780047,Veradis Cato,9773089821,Female,Monthly,20366,163,9/6/2023,5/21/2023,Male,163,163,8010528129
